Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
1631,2,14,,920,Dama Ali,Africa-NE,Ethiopia,11.28,42.03.00,1068,Shield volcano,,S,50,1,,,,,,2,,,3
1631,12,16,3129,9756,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,5,"P,E,M",4000,4,,,,,,4,,4,12
1636,5,15,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Stratovolcano,3,,,,,,,,,1,,,1
1638,,,,,Raung,Java,Indonesia,-9.59.00,114.56.00,3260,Stratovolcano,4,M,1001,4,,,,,,,,,4
1640,,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,P,5000,4,,,,,,,,4,8
1646,7,19,5754,10519,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,P,,3,,,,,,,,,3
1650,9,26,269,,Santorini,Greece,Greece,42.44.00,31.36.00,367,Shield volcano,4,"G,W,T",120,3,,,,,,1,,,4
1660,2,,,,Teon,Banda Sea,Pacific Ocean,-22.16.00,131.24.00,728,Stratovolcano,4,"G,T",3,1,,,,,,,,,1
1660,10,27,,1017,Guagua Pichincha,Ecuador,Ecuador,-2.51.00,-87.58.00,4784,Stratovolcano,4,P,,,,,,,,2,,,2
1660,11,3,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Subglacial volcano,4,,,,,,,,,1,,,1
1660,,,5482,,Long Island,New Guinea-NE of,Papua New Guinea,-10.58.00,147.12.00,1280,Complex volcano,6,"T,P,W,I",2000,4,,,,,,3,,3,10
1663,8,16,,,Toya,Hokkaido-Japan,Japan,51.04.00,153.59.00,733,Stratovolcano,5,"T,P",5,1,,,,,,,,,1
1664,4,15,,,Unzendake,Kyushu-Japan,Japan,44.41.00,134.59.00,1483,Complex volcano,2,m,30,1,,,,,,,,,1
1664,,,293,,Io-Torishima,Ryukyu Is,Japan,41.41.00,131.43.00,212,Complex volcano,,A,,1,,,,,,,,,1
1669,3,11,,1057,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,,,3,,,,,,,,,3
1669,3,19,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,L,2,1,,,5,1,,,,,2
1670,,,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Shield volcano,2,L,,3,,,,,,,,,3
1672,4,24,,,Fayal,Azores,Portugal,47.36.00,-39.53.00,1041,Stratovolcano,2,,3,1,,,,,,,,,1
